Comment,Cause,Cluster
"Added the patch for now, this actually broke when https://github.com/tensorflow/tensorflow/pull/56446 merged, which is why I didn't initially have this issue","Added the patch for now, this actually broke when https://github.com/tensorflow/tensorflow/pull/56446 merged, which is why I didn't initially have this issue.",4
"I submitted the PR https://github.com/tensorflow/tensorflow/pull/56620 to remove uses of no_oss_py2, which has been approved but not merged yet, though not sure why.
So it seems that the ARM_CI and ARM_CD workflows are only running the pip tests. Are there plans to also run the nonpip tests on the source code directly?
The current test flags for these ARM workflows include ""-requires-gpu,-gpu,-tpu,"" which are not used in the x86 pip tests.","""I submitted the PR https://github.com/tensorflow/tensorflow/pull/56620 to remove uses of no_oss_py2, which has been approved but not merged yet, though not sure why.""",4
"I think this was merged with https://github.com/tensorflow/tensorflow/commit/299cb76dd913e7bb0349a13c1165459dac4ea81e but the PR is not closed and put in a merged status.
We have collected this case in https://github.com/tensorflow/community/issues/413",I think this was merged with https://github.com/tensorflow/tensorflow/commit/299cb76dd913e7bb0349a13c1165459dac4ea81e but the PR is not closed and put in a merged status.,4
@gbaned Could you merge the PR?,Could you merge the PR?,4
"@LukeWood too late, It was already merged. If @wangpengmit is ok with this additional API change I could eventually open a new one.","too late, It was already merged.",4
It might have been a wrong-way merge or something like that. At this point it's usually easier to just close it and make a new PR from scratch.,"""Wrong-way merge""",4
@bixia1 I had to resolve another merge conflict that came up in the last few days. Does the PR need to be re-approved?,I had to resolve another merge conflict that came up in the last few days.,4
@mahmoud-abuzaina i think you need to rebase this PR to the head to trigger the tests,i think you need to rebase this PR to the head to trigger the tests.,5
NNTest and TPUEmbeddingForServingTest were still calling `embedding_lookup_ragged`. The other test failures in the log don't seem to be related to this change.,The other test failures in the log don't seem to be related to this change.,5
This keeps failing internal tests. Let me see if I can quickly generate a fix,This keeps failing internal tests.,5
"Seems like almost all tests succeeded except for one, but I am not sure what to make of this. I don't know if this PR is what breaks this?
```
tensorflow/c/eager/c_api_test.cc:681: Failure
Expected equality of these values:
orig_ptr
Which is: 0x55ab336cfc00
TF_TensorData(t)
Which is: 0x7f5d90089f40
```","seems like almost all tests succeeded except for one, but I am not sure what to make of this. I don't know if this PR is what breaks this",5
"@bixia1: It is just a first draft. The test doesn't even work. In the meantime, it makes sense to review the refactoring of `tensorflow/python/compiler/tensorrt/test/BUILD`",The test doesn't even work.,5
I can see some tests are failed but the log shows the failure is unrelated to this PR. Can you help check? @reedwm,I can see some tests are failed but the log shows the failure is unrelated to this PR.,5
"> This needs to get fixed, as we are not testing depthwise convolutions currently. @duncanriach, do you want to fix this? A quick fix would be to add `@unittest.skip(""Test currently fails"")` for the two failing test methods.
Yes, I'll work on this. It's weird that these tests are failing because I thought I ran them successfully for PR [55657](https://github.com/tensorflow/tensorflow/pull/55657).","""It's weird that these tests are failing because I thought I ran them successfully for PR [55657](https://github.com/tensorflow/tensorflow/pull/55657)...""",5
"Many tests failed, will email a log",Many tests failed.,5
"Update: test still fails on commit `55645ca964508507890529a71591f51a344a6356` April 9
test passes with ``--config=opt``","""test still fails on commit 55645ca964508507890529a71591f51a344a6356 April 9 test passes with --config=opt""",5
"@PatriceVignola We only run TensorFlow presubmit tests before merging. After merging, PRs could still be reverted if they broke TensorFlow nightly tests or other internal tests (e.g., unit / integration tests of internal applications that use TensorFlow). In this case, it broke an internal test.","""In this case, it broke an internal test.""",5
This PR got reverted because it broke internal tests. Will add this to the list of `DEVICE_DEFAULT` ops to revisit / investigate later.,"""PR got reverted because it broke internal tests""",5
"> @drivanov this test fail, see [log](https://github.com/tensorflow/tensorflow/files/8265934/boolpr.log)
Fixed.","""this test fail, see [log](https://github.com/tensorflow/tensorflow/files/8265934/boolpr.log) Fixed."")",5
"@drivanov this test fail, see
[log](https://github.com/tensorflow/tensorflow/files/8265934/boolpr.log)","""this test fail, see [log](https://github.com/tensorflow/tensorflow/files/8265934/boolpr.log)""",5
"I got this test failur
[casttest.log](https://github.com/tensorflow/tensorflow/files/8155552/casttest.log)
e",I got this test failur,5
It seems the PR has been hanging for a while. I see some tests fail but they seem unrelated to the PR. Can you help check? @awpr @jurahul,I see some tests fail but they seem unrelated to the PR.,5
"Thanks for creating the gist.
However, as I said, it is crucial to run it on Apple M1 hardware to reproduce it. In your gist, I see that you use an Nvidia GPU.
Also, you did not exactly use the commits I specified, although this probably should not matter.","""You did not exactly use the commits I specified, although this probably should not matter.""",6
"3 commits for a single line change? Can you please merge the commits in just one?
In general, we don't want to insert all and every links to the README. There are too many and some don't have the same quality as others. It takes too much time to evaluate the materials, so it is better to only include links that Google has vetted. As such, I don't think this PR is worthwhile.",3 commits for a single line change?,6
"Can you make one single commit with the change in the first file? 7 commits for just one single file change are a little bit too much.
You can squash all commits to a single one too if you don't want to open a separate PR.",7 commits for just one single file change are a little bit too much.,6
Can you squash these commits please? It doesn't make sense to have 5 commits for a line change and one extra empty line,It doesn't make sense to have 5 commits for a line change,6
"Yeah, we already split it into other PRs. It was much larger. Also, I understand larger commits are not a good idea, but in this case changes really need to go together
Also note, most of the code changes are ROCm specific. About half(may be more) the files touched are only for ROCm. In common files, almost all the changes are again ROCm specific. They are #defines like TENSORFLOW_ROCM","""I understand larger commits are not a good idea, but in this case changes really need to go together""",6
"I see there are 8 commits, can you squash them into 1 commit?","I see there are 8 commits, can you squash them into 1 commit?",6
Could you please squash the commits?,Could you please squash the commits?,6
Can you squash the commits?,Can you squash the commits?,6
Please squash the commits.,"""Please squash the commits.""",6
