id,modified_comment,Cause Span,GPT-4,ChatGPT,Flan-Alpaca-XL,,best_matches,worst_matches,Emotion 2,ChatGPT,GPT-4,flan-alpaca
702517538,"hi [USER] thanks for catching mistake. Regarding your comment
`we can probably have min/max and a value in tests as float numbers and come up with a case when parseInt would cause an issue`
So I doubt this can be valid scenario because if min is `1.0` and max is `3.0` and user enters just `2` then still it will be correct to user always enter decimal value developers should add pattern or regex.
Please feel free tp correct me If am wrong in above scenario or in case you have other thought in your mind.",.So I doubt this can be valid scenario,Please feel free tp correct me If am wrong in above scenario or in case you have other thought in your mind.,So I doubt this can be valid scenario because if min is `1.0` and max is `3.0` and user enters just `2` then still it will be correct to user always enter decimal value developers should add pattern or regex.,"""due to""",432,,1,Disapproval,Annoyance,Curiosity,Frustration
703903526,"The wording here is inconsistent with other similar messages, such as: [URL] [URL] [URL] [URL] [URL] Not that we're terribly consistent, but ""cannot be specified"" and ""can only be used"" are the most common qualifiers we use.",.is inconsistent,The wording here is inconsistent with other similar messages,The wording here is inconsistent with other similar messages,The wording here is inconsistent with other similar messages.,433,,1,Disapproval,Irritation,Confusion,Frustration
720379174,"Oh right! 🙃 This started as a Mac issue, I forgot to add the rest",I forgot to add the rest,Oh right! 🙃,🙃,"""Oh right!""",237,,1,Neglect,Confusion,Amusement,Curiosity.
721770912,"Good point and that's pretty slick but it may not help with the ""pretty complicated"" issue :-). Factoring out the resolve function makes it a little more obvious that we're just return the first MaterialStateProperty that resolves to null. So:
[TRIPLE QUOTE].
That's pretty close to what you had, whichever way you find more readable is OK with me.",OK with me.,whichever way you find more readable is OK with me.,"Good point and that's pretty slick but it may not help with the pretty complicated"" issue :-).""","""Good point and that's pretty slick but it may not help with the ""pretty complicated"" issue :-). Factoring out the resolve function makes it a little more obvious that we're just return the first MaterialStateProperty that resolves to null. So: [TRIPLE QUOTE]. That's pretty close to what you had, whichever way you find more readable is OK with me..""",76,,1,Approval,Contentment,Approval,Joy.
724610147,"Aaah I see. That is so true. What about something a bit more explicit like...
1. Execute `flutter run` code below
2. <!-- describe steps to demonstrate bug -->
3. <!-- e.g. Tap on X, see crash -->
This way it also nudges folks to fill out your code template below :) WDYT?",.That is so true,What about something a bit more explicit like...,"Aaah I see. That is so true. What about something a bit more explicit like... Execute `flutter run` code below. <!-- describe steps to demonstrate bug -->. <!-- e.g. Tap on X, see crash -->. This way it also nudges folks to fill out your code template below :) WDYT?","""Aaah I see. That is so true. What about something a bit more explicit like... 1. Execute flutter run code below 2. !-- describe steps to demonstrate bug --> 3. !-- e.g. Tap on X, see crash --> This way it also nudges folks to fill out your code template below :) WDYT?""",434,,1,Approval,Neutral,Curiosity,Curiosity
874048172,"[USER] yep, it is bug, we will fix it, so we have it in `experiments` :+1:",.:+1:,we will fix it,:+1:,"""[USER] yep, it is bug, we will fix it, so we have it in experiments :+1:.""",435,,1,Approval,Approval,Approval,Optimism
876841286,"I hope I'm wrong, but I don't think this proposal would allow us to solve [URL] according to the mentioned caveat.
This is because if my own code set `Validators.required` in a form control, then `@angular/material` has no way to know which function reference to use to check for the required validator presence. Is this correct ?
I was under the impression that this use-case was one of the major thing to solve.
If associating a validator with a name would properly solve all use-cases, maybe a redesign of the Forms API, that also include all the good things from #31963, should be considered, instead of doing half-measures ? A sort of `ReactiveFormsV2Module` ?",.under the impression,Is this correct ?,"I hope I'm wrong, but I don't think this proposal would allow us to solve [URL] according to the mentioned caveat.","""I hope I'm wrong, but I don't think this proposal would allow us to solve [URL] according to the mentioned caveat.""",436,,1,Confusion,Annoyance,Confusion,Frustration
919082522,I disagree. A framework is exactly that: Decreasing the complexity and amount of written code and avoiding duplicate boilerplate code.,I disagree. A framework is exactly that:,I disagree.,I disagree.,I disagree. A framework is exactly that: Decreasing the complexity and amount of written code and avoiding duplicate boilerplate code.,105,,1,Disapproval,Disapproval,Disapproval,Frustration
923881959,"That is an interesting idea [USER] I think the wording should not mention redirects, since that is not what is happening. Perhaps ""leaves angular.io domain"" or ""external URL"" might be accurate.",.might be accurate,"Perhaps leaves angular.io domain"" or ""external URL"" might be accurate.""",That is an interesting idea [USER],"""That is an interesting idea""",440,,1,Disapproval,Suggestion: Contentment,Curiosity,Curiosity
926892894,"[BLOCK QUOTE]. I share your feeling that duplication of tokens should be reported as an error (see [URL] 😄), but strictly speaking that would be a breaking change and separate from this fix.",(see [URL] 😄),😄,I share your feeling that duplication of tokens should be reported as an error,"""duplication of tokens should be reported as an error""",10,,1,Approval,Approval,Amusement,Curiosity.
932608742,"[BLOCK QUOTE].
My ""pleasure"" (I guess :-D ) [USER]
[BLOCK QUOTE].
Ah, wow. Sorry to learn that, but thanks
[BLOCK QUOTE].
Hehe, that is probably a good thing indeed, but we need to stay realistic until the (featured) templates cover all situations.
[BLOCK QUOTE].
Hehe, the report might seem exaggerated, but the current situation is certainly confusing / sub-optimal. If you are referring to a ""merge request"", I have not changed anything, but it seems trivial.
Is there a reason why this ticket is closed?",wow. Sorry to learn that,(I guess :-D ),the current situation is certainly confusing / sub-optimal.,"""[BLOCK QUOTE]. My ""pleasure"" (I guess :-D ) [USER] [BLOCK QUOTE]. Ah, wow. Sorry to learn that, but thanks [BLOCK QUOTE]. Hehe, that is probably a good thing indeed, but we need to stay realistic until the (featured) templates cover all situations. [BLOCK QUOTE]. Hehe, the report might seem exaggerated, but the current situation is certainly confusing / sub-optimal. If you are referring to a ""merge request"", I have not changed anything, but it seems trivial. Is there a reason why this ticket is closed?""",211,,1,Confusion,Annoyance,Amusement,Curiosity
938967285,"Merge assistance: it looks like NgBot is confused: the necessary approvals were provided, so it's safe to proceed with the merge.",it's safe to proceed with the merge,NgBot is confused,it looks like NgBot is confused:,"""merge assistance: it looks like NgBot is confused: the necessary approvals were provided, so it's safe to proceed with the merge.""",186,,1,Approval,Confusion,Confusion,Optimism
941234580,"I think you’re right that this would be fairly easy from an implementation standpoint, but there are two main reasons why we don’t want to move forward without careful consideration of the full problem space:
1. If we _simply_ add a flag that allows module resolution to work with `.ts` files, it will 100% contribute to the misconception that TypeScript does, can, or should emit JS files with the transformation `import ""./foo.ts""` → `import ""./foo.js""`. We already have angry mobs demanding that this happen for `import ""./foo""` → `import ""./foo.js""` so if we allowed `.ts` extensions on there without it being very clear what use cases it is intended to serve, it would just pour fuel on that fire.
2. Such a flag would look like a gift to Deno users, but it would actually be woefully incomplete for them. There are obviously a lot of other parts of module resolution that are either specific to Deno or shared between Deno and the browser that we don’t currently support, and I think those users would be confused and disappointed that we stopped so far short of proper support for these things.
Don’t get me wrong, I want us to solve all of these problems, but we’re still in the phase where we’re trying to develop a thorough understanding of all the different reasons people want this and what the existing solutions are.",.just pour fuel on that fire,"I think you’re right that this would be fairly easy from an implementation standpoint, but there are two main reasons why we don’t want to move forward without careful consideration of the full problem space","If we _simply_ add a flag that allows module resolution to work with `.ts` files, it will 100% contribute to the misconception that TypeScript does, can, or should emit JS files with the transformation import ""./foo.ts"""" → ""import ""./foo.js"""".","""If we _simply_ add a flag that allows module resolution to work with .ts files, it will 100% contribute to the misconception that TypeScript does, can, or should emit JS files with the transformation import ""./foo""  import ""./foo.js"". We already have angry mobs demanding that this happen for import ""./foo""  import ""./foo.js"" so if we allowed .ts extensions on there without it being very clear what use cases it is intended to serve, it would just pour fuel on that fire.""",444,,1,Disapproval,Anxiety,Approval,Frustration
942688270,I closed it because it's gotten 3 upvotes over the past 3 years,I closed it,I closed it because it's gotten 3 upvotes over the past 3 years,I closed it because it's gotten 3 upvotes over the past 3 years.,"""I closed it because it's gotten 3 upvotes over the past 3 years.""",100,,1,Disappointment,Disapproval,Disapproval,Disapproval
947366138,"[BLOCK QUOTE].
No, if there would have an overflow error, it would have shown in console too, which I don't see at all. Also tried scrolling but don't see any issue.",".if there would have an overflow error,",Also tried scrolling but don't see any issue.,,"""[BLOCK QUOTE] No, if there would have an overflow error, it would have shown in console too, which I don't see at all. Also tried scrolling but don't see any issue..""",446,,1,Disapproval,0,Curiosity,Frustration
953862319,[USER] Sounds good. The crash is very random but always happen on the closing of the app. I'll work on a minimal sample app to see if it can be reproduced easily.,The crash is very random,The crash is very random but always happen on the closing of the app. I'll work on a minimal sample app to see if it can be reproduced easily.,,"""[USER] Sounds good. The crash is very random but always happen on the closing of the app.""",31,,1,Approval,0,Curiosity,Curiosity.
956248457,"Hi [USER], This doesn't look like flutter specific issue but rather the flutter plugin for Android Studio, I would advise you to please file the issue in the dedicated repo [URL] Closing, as this isn't an issue with flutter. If you disagree feel free to write in the comments and I will reopen it. Thank you.",this isn't an issue with flutter,Thank you.,,"""This doesn't look like flutter specific issue but rather the flutter plugin for Android Studio""",172,,1,Disapproval,0,Approval,Joy.
957125817,"Yeah, exactly the same issue. Thanks for the link. But i need to recode to accomodate the updated pluging. I know i am asking for too much, but i just hope pluging developer don't just remove the feature just like that.",exactly the same issue,i just hope pluging developer don't just remove the feature just like that,but i just hope pluging developer don't just remove the feature just like that.,"""exactly the same issue""",450,,1,Horror,Hope,Disapproval,Frustration
957183512,"[USER] I’m unable to reproduce the issue to pinpoint the cause, it could be the third party’s integration with the framework. I'll be labelling it for further investigation.",unable to reproduce the issue,I'll be labelling it for further investigation.,entire utterance.,"""third party's integration with the framework""",166,,1,Disappointment,Neutral,Curiosity,Curiosity.
82121251,I am not sure what you mean by that,I am not sure what you mean by that,I am not sure what you mean by that.,I am not sure what you mean by that.,"""I am not sure""",97,,,Confusion,Confusion,Confusion,Curiosity
90701231,oops 😅 I haven't implemented the tests yet so I hadn't audited yet.,oops 😅,oops 😅 I haven't implemented the tests yet,oops 😅,"""oops""",256,,,Cheerfulness,Embarrassment,Embarrassment,Frustration
92501584,"I also agree, but lets keep them for now since we aren't done with setting it up on webpack.js.org yet.",I also agree,I also agree,the entire utterance.,"""I also agree, but lets keep them for now since we aren't done with setting it up on webpack.js.org yet.""",89,,,Approval,Agreement,Agreement,Optimism
94004395,I simply took what was above in the same file! I do agree they don't really make sense though.,I do agree they don't really make sense,I do agree,I do agree they don't really make sense though.,I simply took what was above in the same file!,136,,,Approval,Disapproval,Agreement,Frustration
94057267,"[USER] my bad! Thanks for the suggestion, I have removed the leftovers from testing.",Thanks for the suggestion,Thanks for the suggestion,,"""my bad!""",207,,,Affection,0,Gratitude,Approval
94288011,I made my first commit at 4AM :-) May be why! Thank you,May be why! Thank you,I made my first commit at 4AM :-),I made my first commit at 4AM :-) May be why! Thank you.,I made my first commit at 4AM :-),203,,,Affection,Joy,Amusement,Joy.
94291425,wrapping these lines into block will make linter happy :),wrapping these lines into block will make linter happy :),wrapping these lines into block will make linter happy :),wrapping these lines into block will make linter happy :),"""wrapping these lines into block""",364,,,Cheerfulness,Contentment,Amusement,Joy.
94504993,"Yeah, that makes sense. I have omitted the output property from the test.",that makes sense.,"Yeah, that makes sense.",,"""That makes sense.""",370,,,Approval,0,Agreement,Joy.
94506335,"not sure, which space are you guys referring to? or should i add one here?","not sure, which space are you guys referring to?","not sure, which space are you guys referring to?",not sure,"not sure, which space are you guys referring to? or should i add one here?",234,,,Confusion,Confusion,Curiosity,Curiosity
94530840,"Yeah that looks great, I think that is a good approach.","that looks great, I think that is a good approach.","Yeah that looks great, I think that is a good approach.",the whole utterance.,"""Yeah that looks great, I think that is a good approach.""",367,,,Cheerfulness,Contentment,Approval,Approval
95076433,❓ Not sure if this file should have been committed,❓ Not sure if this file should have been committed,Not sure if this file should have been committed,❓ Not sure,Not sure if this file should have been committed.,227,,,Confusion,Uncertainty,Confusion,Confused
95499985,[USER] I thinks it's better to leave it as is (i.e. string concatenation) than this for better readability,better to leave it as is,I thinks it's better to leave it as is (i.e. string concatenation) than this for better readability,it's better to leave it as is.,"""[USER] I thinks it's better to leave it as is (i.e. string concatenation) than this for better readability.""",407,,,Disapproval,Contentment,Disapproval,Frustration
96147085,probably much more readable :D like that.,:D like that,:D like that.,:D,"""probably much more readable""",260,,,Affection,Joy,Amusement,Joy.
97830353,"Done. Strangely, falling tests, when I tried to remove it before","Strangely, falling tests, when I tried to remove it before",Strangely falling tests,"Strangely, falling tests,.","""Done. Strangely, falling tests, when I tried to remove it before.""",283,,,Confusion,Confusion,Curiosity,Frustration
101927254,That's not the same as before. Would be a breaking change if you change this.,Would be a breaking change,Would be a breaking change if you change this.,Would be a breaking change if you change this.,That's not the same as before.,310,,,Nervousness,Annoyance,Disapproval,Frustration
102410303,"This is unrelated to your changes. Could you rollback this, please?",.Could you rollback this,"Could you rollback this, please?","Could you rollback this, please?","""This is unrelated to your changes""",408,,,Disapproval,Annoyance,Disapproval,Frustration
108326688,My bad. Looks like didn't load the .editorconfig at the time. It's weird. I've reinstall my editor plugin then fixed it.,My bad. Looks like didn't load the .editorconfig,My bad. Looks like didn't load the .editorconfig at the time.,It's weird.,"""My bad. Looks like didn't load the .editorconfig at the time.""",208,,,Neglect,Irritation,Embarrassment,Confused
117588007,on second thought not sure i should have switched n and t. it looks like it might change the behavior of the resulting code. but i'm not sure why the output switched either.,on second thought not sure i should have switched n and t.,not sure i should have switched n and t,not sure i should have switched n and t.,"""on second thought not sure i should have switched n and t. it looks like it might change the behavior of the resulting code. but i'm not sure why the output switched either..""",250,,,Confusion,Uncertainty,Uncertainty,Confused
122603437,"yeah, I wasn't sure if this approach is ok and if I wanted to shadow as little as possible from the initial set (: happy to add some logic there",(: happy to add,happy to add some logic there,happy to add some logic there,"""yeah, I wasn't sure if this approach is ok and if I wanted to shadow as little as possible from the initial set (: happy to add some logic there.""",79,,,Cheerfulness,Approval,Happiness,Joy.
138079032,Okay thanks. I wasn't sure about that.,I wasn't sure about that.,I wasn't sure about that.,,"""I wasn't sure about that.""",249,,,Confusion,0,Realization,Curiosity.
139083319,"I guess this could be more efficiently processed, but I guess it would break the code generation because of the assumption that the prefix can be replaced with a string literal.
But as nobody writes such code by hand and babel won't generate this code (first argument to concat is always an expression), we can keep it simple.",I guess it would break the code,"I guess this could be more efficiently processed, but I guess it would break the code generation because of the assumption that the prefix can be replaced with a string literal.",I guess this could be more efficiently processed,"""I guess this could be more efficiently processed, but""",125,,,Nervousness,Skepticism,Confusion,Frustration
139258275,"Oops, that wasn't intentional","Oops, that wasn't intentional",Oops that wasn't intentional,Oops.,"""oops""",255,,,Neglect,Surprise,Embarrassment,Regret
153119784,Not sure if it's a good idea to set this global variable here.,not sure if it's a good idea,Not sure if it's a good idea to set this global variable here.,Not sure if it's a good idea to set this global variable here.,Not sure if it's a good idea to set this global variable here.,223,,,Disapproval,Uncertainty,Curiosity,Confused
157323470,I think I like your first suggestion because it allows us to keep the hooks in one place.,like your first suggestion,I think I like your first suggestion,I think I like your first suggestion,I like your first suggestion because it allows us to keep the hooks in one place.,139,,,Affection,Liking,Approval,Joy.
157376729,"hmm for some reason i thought it was opposite, updating. Thank you [USER]","it was opposite, updating. Thank you [USER]",for some reason i thought it was opposite,Thank you [USER].,"""hmm for some reason i thought it was opposite, updating""",84,,,Affection,Contentment,Curiosity,Approval
159079807,I had to remove them because of the mocking system. Many tests were failing because of additional hooks.,Many tests were failing because of additional hooks.,Many tests were failing because of additional hooks.,Many tests were failing because of additional hooks.,"""I had to remove them because of the mocking system. Many tests were failing because of additional hooks..""",126,,,Nervousness,Frustration,Curiosity,Frustration
159822327,"Right, I forgot to remove this while investigating the failing test case.",I forgot to remove this,I forgot to remove this while investigating the failing test case.,I forgot to remove this while investigating the failing test case.,"""I forgot to remove this while investigating the failing test case.""",264,,,Neglect,Remorse,Embarrassment,Frustration
161375219,"I didn't see the point in burying this function in the class, so it's outside. I'm not sure if this matches the code styles well.",I'm not sure if this matches the code styles well.,I'm not sure if this matches the code styles well.,,"""I didn't see the point in burying this function in the class, so it's outside. I'm not sure if this matches the code styles well.""",104,,,Disapproval,0,Uncertainty,Confused
161679884,"It's kind of weird to support wrong booleans `""false""`. Remove this.",It's kind of weird to support wrong booleans,"It's kind of weird to support wrong booleans `false""`.""",Remove this.,"""It's kind of weird to support wrong booleans ""false"". Remove this..""",190,,,Nervousness,Disapproval,Disapproval,Frustration
163396586,"Touche. Haha well we should just update them all in one PR, not this one though. 😂",Touche. Haha well we should just update them all in one PR,"Touche. Haha well we should just update them all in one PR, not this one though. 😂",😂.,""" Touche. Haha well we should just update them all in one PR, not this one though. """,343,,,Cheerfulness,Amusement,Amusement,Joy
164284889,Nope this is still proof of concept and is a good reminder that I forget console logs. 😬,good reminder that I forget console logs. 😬,I forget console logs. 😬,😬.,"""Nope this is still proof of concept and is a good reminder that I forget console logs.""",217,,,Neglect,Embarrassment,Embarrassment,Joy.
166578897,"Guys I just hadn't the time to finalize the local stuff I'm working on for the `postcss-icss-*` side of affairs, this stuff (dependencies) will be moved soon from the PR :D 😛. Happy with every `postcss-value-parser` that is capable of parsing `@import/url()` for the initial `CSSParser` in it's default state. `css-modules` will still be an opt-in either via `postcss-loader` or something like
[TRIPLE QUOTE].",:D 😛Happy with every `postcss-value-parser` that is capable of parsing `@import/url()`,:D 😛.,Happy with every `postcss-value-parser` that is capable of parsing `@import/url()` for the initial `CSSParser` in it's default state.,"""Happy with every postcss-value-parser that is capable of parsing @import/url() for the initial CSSParser in it's default state.""",81,,,Cheerfulness,Optimism,Amusement,Joy
168005195,Then it's fine 👍,Then it's fine 👍,Then it's fine 👍,👍,"""Then it's fine""",316,,,Approval,Approval,Approval,Contentment
175672802,"Yeah, will edit that, sorry. :smiley:, wanted to ask question related to mocking.",.will edit that sorry,sorry. :smiley:,"Yeah, will edit that, sorry. :smiley:, wanted to ask question related to mocking.","""Wanted to ask question related to mocking.""",410,,,Neglect,Contentment,Apology,Curiosity.
178605387,"This is not correct. A Chunk doesn't have this probably.
You probably found this in the HMR code. The template takes a `Chunk | { id, modules, removedModules }`. This is a kind of fake Chunk with this extra info.",This is not correct. A Chunk doesn't have this probably.,A Chunk doesn't have this probably.,This is not correct.,"""This is not correct""",331,,,Disapproval,Annoyance,Curiosity,Frustration
178605793,"This is incorrect.
Actually the usage of `this.chunks` below is incorrect. It should be `compilation.chunks` instead.
This happend probably while the migration from function to arrow function.
Better do a separate PR here, as we should also add tests for this.",This is incorrect.,This is incorrect.,Actually the usage of `this.chunks` below is incorrect.,"""This is incorrect""",329,,,Disapproval,Annoyance,Disapproval,Frustration
178769538,I prefer how Tobias wrote it. It is more expressive and easier to understand how it works.,I prefer how Tobias wrote it. It is more expressive and easier to understand how it works.,I prefer how Tobias wrote it. It is more expressive and easier to understand how it works.,I prefer how Tobias wrote it.,I prefer how Tobias wrote it.,132,,,Affection,Liking,Admiration,Curiosity.
182763900,Why is this happening? A side effect of generating tests dynamically?,Why is this happening?,Why is this happening? A side effect of generating tests dynamically?,Why is this happening?,"""A side effect of generating tests dynamically?""",357,,,Nervousness,Confusion,Curiosity,Curiosity
184582031,"Hmm this was causing some strange assertions, I'll double check here.",causing some strange assertions,causing some strange assertions,,"""Hmm this was causing some strange assertions""",85,,,Nervousness,0,Confusion,Curiosity
184589259,I generally don't like using `Function` but it seems appropriate in this case 😔,don't like using `Function`,I generally don't like using `Function`,I generally don't like using `Function`,"I generally don't like using ""Function"" but it seems appropriate in this case.",124,,,Disappointment,Dislike,Dislike,Irritation
186056719,I am not sure if it is fine to edit an existing test.,I am not sure if it is fine to edit an existing test.,I am not sure if it is fine to edit an existing test.,I am not sure,I am not sure if it is fine to edit an existing test.,96,,,Confusion,Uncertainty,Uncertainty,Confused
189286545,Remove this whole file. It's a bad test because it test the internal behavior.,It's a bad test because it test the internal behavior.,It's a bad test because it test the internal behavior.,Remove this whole file.,"""bad test""",262,,,Disapproval,Disapproval,Disapproval,Frustration
189431101,"hmm.. I'll remove it, but the problem was there before this change...",but the problem was there before this change...,"hmm.. I'll remove it, but the problem was there before this change...","hmm.. I'll remove it,.","""hmm.. I'll remove it, but the problem was there before this change....""",86,,,Nervousness,Indifference,Curiosity,Curiosity.
191767183,"I'm stuck here, I don't know how to get the used exports [USER] thanks",I don't know how to get the used export,"I'm stuck here, I don't know how to get the used exports",I'm stuck here,"""I'm stuck here, I don't know how to get the used exports """,164,,,Confusion,Frustration,Confusion,Relief
194542610,"[USER] If you need help, feel free to assign us to a respective project, sub-ticket we can work on.","If you need help, feel free to assign us","feel free to assign us to a respective project, sub-ticket we can work on.","If you need help, feel free to assign us to a respective project, sub-ticket we can work on.","""If you need help, feel free to assign us to a respective project, sub-ticket we can work on.""",173,,,Affection,Caring,Gratitude,Optimism
195418891,"aaa I see what you mean, sh...... ok, sorry will fix this",sorry will fix this,"ok, sorry will fix this.",sh......,"""aaa I see what you mean, sh...""",36,,,Neglect,Embarrassment,Embarrassment,Curiosity.
197090722,"Not sure what exactly to put here, would appreciate some guidance",Not sure what exactly to put here,would appreciate some guidance,Not sure what exactly to put here,Not sure what exactly to put here,228,,,Confusion,Uncertainty,Curiosity,Confused
198086388,"Not sure if the above changes are needed since we already do that in `WebpackOptionsDefaulter`.
/cc [USER]",Not sure if the above changes are needed,Not sure if the above changes are needed,Not sure,"""Not sure if the above changes are needed since we already do that in WebpackOptionsDefaulter.""",225,,,Disapproval,Confusion,Curiosity,Confused
206464542,Yep. I was hesitant. That's probably the best move.,That's probably the best move.,That's probably the best move.,I was hesitant.,"""That's probably the best move.""",312,,,Approval,Apprehension,Approval,Optimism
215908087,This change is strange. Why is there such a big difference?,This change is strange. Why is there such a big difference?,Why is there such a big difference?,This change is strange.,"""This change is strange""",322,,,Confusion,Confusion,Curiosity,Curiosity
225866422,"No it isn't, good catch",good catch,good catch,good catch,"""No it isn't, good catch.""",74,,,Approval,Contentment,Approval,Admiration
247501571,Yep. Same concern for me.,same concern for me,Same concern for me.,,Same concern for me.,377,,,Nervousness,0,Concern,Sympathy
247910899,"""I thought the original pull request needed just a rebase. I'll look into it. Do you have any suggestions what needs to be done?
Also - I'm not sure why there was such a complex test function [URL], the test can be simpler, right?
And looking at it some more, maybe `Preserve existing chunk as an entrypoint when it has matching modules` is not a very clear description, or is it? I'd suggest something like `Preserve entrypoint when it has same name as chunk`?""","I'm not sure why there was such a complex test function [URL], the test can be simpler, right?",Do you have any suggestions what needs to be done?,"And looking at it some more, maybe `Preserve existing chunk as an entrypoint when it has matching modules` is not a very clear description, or is it?","""I thought the original pull request needed just a rebase""",7,,,Confusion,Confusion,Curiosity,Curiosity
274094522,"Yes, We need to implement features that can be used with the file/url-loader. So, I want to implement it in the next step. Also, I want to move all test cases from these loaders.",.can be used with the file/url-loader,I want to implement it in the next step.,"So, I want to implement it in the next step.","""Yes, We need to implement features that can be used with the file/url-loader.""",411,,,Approval,Optimism,Curiosity,Optimism
303461904,"Makes sense, but in this case I don't even need DateTimeFormat and can save the initialization cost...",I don't even need DateTimeFormat,in this case I don't even need DateTimeFormat and can save the initialization cost,I don't even need DateTimeFormat and can save the initialization cost.,"""makes sense, but in this case I don't even need DateTimeFormat and can save the initialization cost....""",200,,,Disapproval,Contentment,Confusion,Curiosity
322592231,"That looks suspicious. Should it be more like this:
[TRIPLE QUOTE].",that looks suspicious,That looks suspicious.,That looks suspicious.,"That looks suspicious. Should it be more like this: [TRIPLE QUOTE].""",305,,,Nervousness,Suspicion,Curiosity,Frustration
322592566,"But we even bothering with a Promise, the original code should work fine here and is simpler.",we even bothering with a Promise,"But we even bothering with a Promise, the original code should work fine here and is simpler.","But we even bothering with a Promise,.","""We even bothering with a Promise, the original code should work fine here and is simpler.""",412,,,Disapproval,Disapproval,Disapproval,Frustration
324006383,"you're right, I should have wrapped the entire thing in the promise. I changed it, should be visible in the latest commit","you're right, I should have wrapped the entire thing in the promise.","you're right, I should have wrapped the entire thing in the promise. I changed it, should be visible in the latest commit.","I changed it, should be visible in the latest commit.","""you're right, I should have wrapped the entire thing in the promise.""",393,,,Approval,Relief,Approval,Approval
343607217,"I think all files is unnecessary, plugins and webpack.js (as Node.js API) maybe.. don't know exactly",don't know exactly,don't know exactly,don't know exactly,"""I think all files is unnecessary, plugins and webpack.js (as Node.js API) maybe.. don't know exactly.""",137,,,Nervousness,Indecision,Curiosity,Curiosity
343840578,"Many attached types are missing here.
This seem to be a typescript bug.
Source file:
[URL]",many attached types are missing here,This seem to be a typescript bug.,Many attached types are missing here.,"Many attached types are missing here. This seem to be a typescript bug. Source file: [URL]""",413,,,Nervousness,Irritation,Confusion,Frustration
379757627,Good catch :clap:,Good catch :clap:,Good catch,:clap:,"""Good catch""",73,,,Cheerfulness,Joy,Approval,Joy.
441936829,🤦 It was meant to be: [TRIPLE QUOTE]. Do you have any suggestions?,It was meant to be,🤦 It was meant to be,🤦 It was meant to be: [TRIPLE QUOTE]. Do you have any suggestions?,"""It was meant to be: [TRIPLE QUOTE]. Do you have any suggestions?""",3,,,Neglect,Annoyance,Confusion,Curiosity
448856427,"Interesting idea. That's worth trying. I think I refactor the whole thing in a way to not leak the parsed version into the API, so all this is webpack internal and can be changed in future.",interesting idea,That's worth trying.,Interesting idea. That's worth trying.,Interesting idea.,175,,,Affection,Optimism,Optimism,Curiosity
450314177,"Not sure, maybe better slice on line 2378","Not sure, maybe better slice on line 2378","Not sure, maybe better slice on line 2378.",0,"Not sure, maybe better slice on line 2378.",233,,,Confusion,Indifference,Curiosity,Confused
453322531,cache results at least for first one.. not sure because of merge result is cached (at least for resolver options),not sure because of merge result is cached (at least for resolver options),not sure because of merge result is cached,not sure because of merge result is cached,"""cached results at least for first one.. not sure because of merge result is cached (at least for resolver options).""",53,,,Confusion,Confusion,Confusion,Confused
467174466,"It's legal, but not correct. The car would have the ModuleDependency, but at runtime it could also have other types. That's why it's wrong.
You must only use casts when the type is restricted at runtime but typescript doesn't know about that. Here the cast is useful to tell typescript that you are sure that this is the type here.",not correct. The car would have the ModuleDependency,but at runtime it could also have other types,That's why it's wrong.,"""It's legal, but not correct.""",313,,,Disapproval,Annoyance,Confusion,Frustration
477496765,"oh, that makes sense; `[USER] {[USER] ... }` is a pretty common construction I think. never mind.",oh that makes sense,that makes sense,,"""oh, that makes sense; [USER] [USER] ...  is a pretty common construction I think. never mind.""",243,,,Approval,0,Realization,Curiosity.
483824904,Thanks for the clarification 👍,Thanks for the clarification,Thanks for the clarification,the entire utterance.,"""Thanks for the clarification""",291,,,Affection,Contentment,Gratitude,Appreciation
485136866,"This looks sketchy, but I manually verified that the assertion should hold in all cases we currently have; it’s just hard to encode it into the types. The only times `host.getCurrentDirectory` is `undefined` are
1. The command line parser and typings installer each call the module name resolver in an ad-hoc way under certain circumstances, but they pass a hard-coded `compilerOptions` that lack `paths`, so this code path is never taken.
2. `Project` calls `getAutomaticTypeDirectives` with a `DirectoryStructureHost`, but that function never uses `host.getCurrentDirectory()`.
Changing `ModuleResolutionHost['getCurrentDirectory']` to be non-optional makes these call sites a bit of a nuisance.",.assertion should hold in all cases we currently have,it’s just hard to encode it into the types.,Changing `ModuleResolutionHost['getCurrentDirectory']` to be non-optional makes these call sites a bit of a nuisance.,"""This looks sketchy, but I manually verified that the assertion should hold in all cases we currently have; it’s just hard to encode it into the types.""",414,,,Approval,Annoyance,Confusion,Frustration
494426360,"this error comes from the same information as before, and is just as correct; I'm not sure what caused it to change, though.","I'm not sure what caused it to change, though.",I'm not sure what caused it to change,I'm not sure what caused it to change.,"""what caused it to change""",326,,,Confusion,Confusion,Curiosity,Curiosity
499866660,"Ah, yes that's right! I was thinking about this case again over the weekend and forgot why I had previously realized it would be fine (because we skip the browser url update in this case 🤦 )",.forgot why I had previously realized it would be fine,because we skip the browser url update in this case,because we skip the browser url update in this case 🤦,I was thinking about this case again over the weekend and forgot why I had previously realized it would be fine (because we skip the browser url update in this case  ).,415,,,Neglect,Remorse,Realization,Curiosity
499866755,ah! Got it [USER] thank you.,ah! Got it [USER] thank you.,ah! Got it,thank you.,"""ah! Got it [USER] thank you.""",45,,,Affection,Gratitude,Relief,Approval
